ch,pyn,py,en
樗,chu1,chū,"simarubaceae
simaroubaceae"
鲰,zou1,zōu,"(surname) / minnows / small fish
minnows / small fish"
薜,bi4,bì,"Ficus pumila
Ficus pumila"
铧,hua2,huá,"ploughshare / spade
plowshare / spade"
榇,chen4,chèn,"Sterculia plantanifolia / coffin
Sterculia plantanifolia / coffin"
怄,ou4,òu,"annoyed
to annoy / to irritate / to be annoyed / to sulk"
寤,wu4,wù,"awake from sleep
to awake from sleep"
缗,min2,mín,"cord / fishing-line / string of coins
cord / fishing-line / string of coins"
硗,qiao1,qiāo,"stony soil
stony soil"
碡,du2 / zhou2,dú,"stone roller
stone roller (for threshing grain, leveling ground etc) / Taiwan pr. [du2]"
矬,cuo2,cuó,"short / dwarfish
short / dwarfish"
鸱,chi1,zhī,"scops owl
scops owl"
虺,hui1 / hui3,hǔi,"sick / with no ambition, poisonous snakes
mythical venomous snake"
糅,rou2,rǒu,"mix
mix"
雠,chou2,chóu,"enmity / feud
to collate / to proofread / variant of 仇[chou2]"
帑,tang3,tǎng,"treasury
state treasury / public funds"
镧,lan2,làn,"lanthanum
lanthanum (chemistry)"
埙,xun1,xūn,"ancient porcelain wind-instrument
ocarina / wind instrument consisting of an egg-shaped chamber with holes"
啁,zhou1,zhōu,"twittering of birds
twittering of birds"
悒,yi4,yì,"anxiety / worry
anxiety / worry"
犍,jian1,jiān,"bullock
bullock / castrated bull / to castrate livestock"
锩,juan4 / juan3,juàn,"to bend iron
to bend iron"
虿,chai4,chài,"(scorpion) / an insect
(scorpion) / an insect"
蛑,mou2,móu,"marine crab
marine crab"
筮,shi4,shì,"divine by stalk
divine by stalk"
糁,san3 / shen1,sān,"to mix (of powders)
to mix (of powders)"
鼍,tuo2,tuó,"large water lizard
Chinese alligator (Alligator sinensis)"
肄,yi4,yì,"descendants / distress / practice
to learn / to practice or study (old)"
籴,di2,dí,"buy up (grain)
buy up (grain)"
骜,ao4,áo,"a noble steed / untamed
a noble steed / untamed"
砻,long2,lóng,"grind / mill
to grind / to mill"
蜮,yu4,yù,"mythical creature / toad / worm
mythical creature / toad / worm"
龀,chen4,chèn,"replace the milk teeth
to replace the milk teeth"
劢,mai4,mài,"put forth effort
put forth effort"
耪,pang3,pǎng,"to weed
to weed"
鬯,chang4,chàng,"sacrificial spirit
sacrificial spirit"
畚,ben3,běn,"a basket or pan used for earth / manure etc
a basket or pan used for earth / manure etc"
觳,hu2,hú,"(measure) / frightened
ancient measuring vessel (same as 斛) / frightened"
稞,ke1,kē,"(wheat)
(wheat)"
鹁,bo2,bó,"woodpidgeon
woodpidgeon"
鲲,kun1,kūn,"sea-monster / young of fishes
fry (newly hatched fish) / legendary giant fish that could transform into a giant bird 鵬|鹏[Peng2]"
捌,ba1,bā,"complicated form of the numeral eight / split
eight (banker's anti-fraud numeral) / split"
菔,fu2,fú,"turnip
turnip"
獬,xie4,xiè,"(mythical animal)
see 獬豸[xie4 zhi4]"
柘,zhe4,zhè,"Cudrania triloba
a thorny tree / sugarcane / Cudrania triloba / three-bristle cudrania (Cudrania tricuspidata) / Chinese mulberry (Cudrania)"
娆,rao2 / rao3,rǎo,"graceful, disturbance
graceful"
篪,chi2,chí,"bamboo flute with 8 holes
bamboo flute with 7 or 8 holes"
谰,lan2,lán,"make a false charge
to make a false charge"
伥,chang1,chāng,"groping / rash / reckless
ghost of sb devoured by a tiger who helps the tiger devour others"
谇,sui4,sùi,"abuse
abuse"
鄄,juan4,juàn,"name of a district in Shandong
name of a district in Shandong"
狎,xia2,xiá,"be intimate with
be intimate with"
闫,yan2,yàn,"(surname)
variant of 閻|阎[Yan2] / surname Yan"
滟,yan4,yàn,"tossing of billows
tossing of billows"
齑,ji1,jī,"fragment / spices
finely chopped meat or vegetables / powdered or fragmentary"
遒,qiu2,qíu,"consolidate / end / strong
strong / vigorous / robust / to draw near / to come to an end"
磔,zhe2,zhé,"tearing off limbs as punishment
tearing off limbs as punishment"
聃,dan1,dān,"ears without rim
ears without rim"
綦,qi2,qí,"dark gray / superlative / variegated
dark gray / superlative / variegated"
泠,ling2,líng,"(surname) / sound of water flowing
sound of water flowing"
砗,che1,chē,"Tridacna gigas
Tridacna gigas"
钕,nu:3 / nv3,nv̌,"neodymium
neodymium (chemistry)"
镫,deng4,dēng,"stirrup
stirrup"
胂,shen4,shēn,"arsine
arsine"
螯,ao2,áo,"nippers / claw (of crab) / chela / pincers / Astacus fluviatilis
nippers / claw (of crab) / chela / pincers / Astacus fluviatilis"
鲠,geng3,gěng,"blunt / fish bones / unyielding
blunt / fish bones / unyielding"
佥,qian1,qiān,"all
all"
罘,fu2,fú,"place name
place name"
嶝,deng4,dèng,"path leading up a mountain
path leading up a mountain"
坨,tuo2,tuó,"lump / spherical substance
see 坨子[tuo2 zi5]"
哞,mou1,mōu,"moo (sound made by cow)
moo (sound made by cow)"
徜,chang2,cháng,"sit cross-legged / walk back and forth
sit cross-legged / walk back and forth"
慊,qian4 / qie4,qiàn,"dissatisfied, contented
contented"
渑,sheng2 / mian3,mǐn,"name of a river in Shandong
name of a river in Shandong"
灞,ba4,bà,"name of a river
name of a river"
盍,he2,hé,"why not
why not"
钋,po1,pò,"polonium
polonium (chemistry) / Taiwan pr. [po4]"
鸫,dong1,dōng,"thrush / Tardus fuscatus
thrush / Tardus fuscatus"
踯,zhi2,zhí,"hesitating / to stop
hesitating / to stop"
縻,mi2,mí,"tie up
to tie up"
褫,chi3,chǐ,"strip / deprive of / to discharge / dismiss / undress
to strip / to deprive of / to discharge / to dismiss / to undress"
羰,tang1,tāng,"carbonyl (radical)
carbonyl (radical)"
俅,qiu2,qíu,"ornamental cap
ornamental cap"
芤,kou1,kōu,"hollow / scallion stalk
hollow / scallion stalk"
隳,hui1,hūi,"destroy / overthrow
destroy / overthrow"
洮,tao2,táo,"cleanse / name of a river
to cleanse / name of a river"
胼,pian2,pián,"callous on hand or foot
callous on hand or foot"
罴,pi2,pí,"(bear)
brown bear"
镛,yong1,yōng,"large bell
large bell"
怛,da2,dá,"distressed / alarmed / shocked / grieved
distressed / alarmed / shocked / grieved"
芊,qian1,qiān,"green / luxuriant growth
green / luxuriant growth"
噌,ceng1 / cheng1,chēng,"to scold / whoosh!, sound of bells, etc
sound of bells etc"
嫱,qiang2,qiáng,"female court officials
female court officials"
绲,gun3,gǔn,"cord / embroidered sash / sew
cord / embroidered sash / to sew"
膻,shan1,dàn,"rank odor (of sheep or goats)
rank odor (of sheep or goats)"
亓,qi2,qí,"(surname) / his / her / its / their
his / her / its / their"
蘅,heng2,héng,"Asarum blumei
Asarum blumei (wild ginger plant)"
缒,zhui4,zhùi,"let down with a rope
to let down with a rope"
镆,mo4,mò,"sword
sword"
伧,cang1,cāng,"low fellow / rustic / rude / rough
low fellow / rustic / rude / rough"
荏,ren3,rěn,"Perilla ocimoides / soft
beefsteak plant (Perilla frutescens) / soft / weak"
唳,li4,lì,"cry of a crane or wild goose
cry of a crane or wild goose"
檩,lin3,lǐn,"cross-beam / ridge-pole
cross-beam / ridge-pole"
鸶,si1,sī,"heron
heron"
蚬,xian3,xiàn,"Cyclina orientalis
Cyclina orientalis"
骱,xie4 / jie4,xiè,"joint of bones
joint of bones"
澍,shu4,shù,"moisture / timely rain
moisture / timely rain"
韫,yun4,yùn,"contain
contain"
嘏,gu3 / jia3,gǔ,"good fortune / longevity, far / grand
far / grand"
怙,hu4,hù,"presume
to rely on / father (formal)"
羧,suo1,suō,"(chem.) carboxyl (radical)
carboxyl radical (chemistry)"
鼙,pi2,pí,"drum carried on horseback
drum carried on horseback"
倥,kong1 / kong3,kōng,"ignorant / blank-minded, urgent / pressed
urgent / pressed"
亳,bo2,bó,"name of district in Anhui / capital of Yin
name of district in Anhui / capital of Yin"
荠,ji4 / qi2,qí,"Capsella bursa pastoris, water chestnut
water chestnut"
昴,mao3,mǎo,"the Pleiades
the Pleiades"
舨,ban3,bǎn,"sampan
sampan"
魈,xiao1,xiāo,"elf
elf / demon"
醣,tang2,táng,"carbohydrate
carbohydrate / old variant of 糖[tang2]"
枵,xiao1,xiāo,"empty / hollow of a tree
empty / hollow of a tree"
珲,hun2 / hui1,hún,"(fine jade)
(fine jade)"
杓,biao1 / shao2,sháo,"(star), ladle
ladle"
楸,qiu1,qīu,"Catalpa / Mallotus japonicus
Catalpa / Mallotus japonicus"
楦,xuan4,xuàn,"block (hat) / stretch (shoe)
to block (a hat) / to stretch (a shoe)"
蛏,cheng1,chēng,"mussel / razor clam / Solecurtus constricta
mussel / razor clam / Solecurtus constricta"
蠛,mie4,miè,"minute flies
minute flies"
髌,bin4,bìn,"kneecap
kneecapping / to cut or smash the kneecaps as corporal punishment"
茔,ying2,yíng,"a grave
a grave"
诼,zhuo2,zhuó,"complain
to complain"
嬖,bi4,bì,"(treat as a) favorite
(treat as a) favorite"
耒,lei3,lěi,"plough
plow"
蜣,qiang1,qiāng,"dung beetle
dung beetle"
笄,ji1,jī,"15 years old / hairpin for bun
15 years old / hairpin for bun"
跣,xian3,xiǎn,"barefooted
barefooted"
钣,ban3,bǎn,"metal plate / sheet of metal
metal plate / sheet of metal"
戆,zhuang4 / gang4,gàng,"simple / stupid
simple / honest"
蜉,fu2,fú,"(dragon fly) / (large ant) / (wasp)
(dragon fly) / (large ant) / (wasp)"
喾,ku4,kù,"name of an emperor
one of the five legendary emperors, also called 高辛氏"
铍,pi2,pī,"beryllium
beryllium (chemistry)"
陉,xing2,xíng,"border the stove / defile / pass
border the stove / defile / pass"
薹,tai2,tái,"Carex dispalatha
Carex dispalatha"
岵,hu4,hù,"wooded hill
mountain covered with vegetation / the residence of one's father / see also 屺[qi3]"
瓴,ling2,líng,"concave channels of tiling
concave channels of tiling"
荽,sui1,sūi,"coriander
coriander"
怫,fei4 / fu2,fú,"anger, anxious
anxious"
钭,tou3,dǒu,"a wine flagon
a wine flagon"
窀,zhun1,zhūn,"grave
to bury"
缯,zeng1 / zeng4,zēng,"(surname) / silk fabrics, to tie / to bind
to tie / to bind"
倬,zhuo1,zhuō,"noticeable, large / clear, distin
noticeable / large / clear / distinct / Taiwan pr. [zhuo2]"
摭,zhi2,zhí,"pick up / to select
pick up / to select"
帔,pei4,pèi,"cape
cape"
楝,lian4,liàn,"Melia japonica
Melia japonica"
痱,fei4,fèi,"prickly heat
prickly heat"
蚶,han1,hān,"small clam / arca inflata
small clam (Arca inflata)"
螬,cao2,cáo,"larva of Mimela lucidula
larva of Mimela lucidula"
髑,du2,dú,"skull
skull"
狷,juan4,juàn,"timid / cautious
nimble / variant of 狷[juan4] / impetuous / rash"
殛,ji2,jí,"put to death
to put to death"
裉,ken4,kèn,"s seam in a garment
side seam in an upper garment"
萋,qi1,qī,"Celosia argentea / luxuriant
Celosia argentea / luxuriant"
葭,jia1,jiā,"reed / Phragmites communis
reed / Phragmites communis"
衽,ren4,rèn,"overlapping part of Chinese gown
variant of 衽[ren4]"
鳢,li3,lǐ,"snakefish
snakefish / snakehead mullet"
傧,bin1,bìn,"best man / entertain
best man / to entertain"
喁,yong2,yóng,"breathing (of fish)
breathing (of fish)"
嫘,lei2,léi,"(surname)
surname Lei"
罟,gu3,gǔ,"implicate / net for birds or fish
to implicate / net for birds or fish"
钌,liao3,diǎo,"ruthenium
ruthenium (chemistry)"
愦,kui4,kùi,"confused / troubled
confused / troubled"
锗,zhe3,duǒ,"germanium
germanium (chemistry)"
衿,jin1,jīn,"overlapping part of Chinese gown
collar / belt / variant of 襟[jin1]"
粢,zi1,zī,"common millet
common millet"
醵,ju4,jù,"contribute to a feast
to contribute to a feast / to pool (money)"
跫,qiong2,qióng,"sound of trampling
sound of footsteps"
廛,chan2,chán,"market place
market place"
墉,yong1,yōng,"fortified wall
fortified wall / city wall"
扦,qian1,qiān,"graft (tree) / stick in
short slender pointed piece of metal, bamboo etc / skewer / prod used to extract samples from sacks of grain etc / (dialect) to stick in / to bolt (a door) / to arrange (flowers in a vase) / to graft (tree) / to pedicure / to peel (an apple etc)"
堇,jin3,jǐn,"yellow loam / clay / season / few
clay / old variant of 僅|仅[jin3] / violet (plant)"
婧,jing4,jìng,"modest / supple
(of woman) slender / delicate / virtuous"
暌,kui2,kúi,"in opposition to / separated from
in opposition to / separated from"
镞,zu2,zú,"arrowhead / sharp
arrowhead / sharp"
蹰,chu2,chú,"irresolute / undecided
irresolute / undecided"
陟,zhi4,zhì,"advance / ascend
to advance / to ascend / to promote"
鳔,biao4,biào,"air bladder of fish
swim bladder / air bladder of fish"
岿,kui1,kūi,"high and mighty (of mountain) / hilly
high and mighty (of mountain) / hilly"
侔,mou2,móu,"similar / comparable / equal
similar / comparable / equal"
郾,yan3,yǎn,"place name
place name"
麸,fu1,fū,"bran
bran"
薨,hong1,hōng,"death of a prince / swarming
death of a prince / swarming"
滁,chu2,chú,"name of a river
name of a river in Anhui"
偾,fen4,fèn,"instigate / ruin / destroy
to instigate / to ruin / to destroy"
拊,fu3,fǔ,"pat
pat"
撺,cuan1,cuān,"rush / stir up / throw / fling / hurry / rage
rush / stir up / throw / fling / hurry / rage"
呒,fu3 / mu2,fǔ,"unclear / an expletive
dialectal equivalent of 沒有|没有[mei2 you3]"
狯,kuai4,huá,"crafty / cunning
crafty / cunning"
猢,hu2,hú,"(monkey)
monkey"
椁,guo3,guǒ,"outer coffin
outer coffin"
榱,cui1,cūi,"small rafter
rafter (classical)"
罾,zeng1,zēng,"large square net
large square net"
铳,chong4,chòng,"a gun / a pistol
ancient firearm / gun"
裎,cheng2,chéng,"take off clothes
an ancient type of clothing"
璎,ying1,yīng,"necklace
necklace"
崞,guo1,guō,"name of a mountain
name of a mountain"
缇,ti2,tí,"orange red silk
orange-red silk / orange-red colored"
蝣,you2,yóu,"Ephemera strigata
Ephemera strigata"
萑,huan2,huán,"(reeds)
(reeds)"
狲,sun1,sūn,"(monkey)
(monkey)"
缱,qian3,qiǎn,"attached to / loving
attached to / loving"
晷,gui3,gǔi,"sundial
sundial"
冼,xian3,xiǎn,"(surname)
surname Xian"
痧,sha1,shā,"cholera
cholera"
蕖,qu2,qú,"lotus
lotus"
锛,ben1,bēn,"adz / adze
adz / adze"
窨,xun1 / yin4,yìn,"to scent tea with flowers, cellar
cellar"
帏,wei2,wéi,"curtain / women's apartment / tent
curtain / women's apartment / tent"
儋,dan1,dān,"carry
carry"
绨,ti2,tí,"coarse greenish black pongee
coarse greenish black pongee"
疠,li4,lì,"sore caused by varnish poisoning
ulcer / plague"
蘩,fan2,fán,"Artemisia stellariana
Artemisia stellariana"
嵝,lou3,lǒu,"mountain peak
mountain peak"
庀,pi3,pǐ,"prepare
to prepare"
汜,si4,sì,"stream which returns after branching
stream which returns after branching"
炅,gui4,jiǒng,"(surname)
(literary) bright / shining / brilliance"
瓠,hu4,hù,"gourd
gourd"
窳,yu3,yǔ,"bad / useless / weak
bad / useless / weak"
虮,ji3,jī,"nymph of louse
nymph of louse"
蚰,you2,yóu,"house centipede
see 蚰蜒[you2 yan5]"
邰,tai2,tái,"(surname) / name of a feudal state
surname Tai / name of a feudal state"
砀,dang4,dàng,"stone with color veins
stone with color veins"
捩,lie4,liè,"tear / twist
tear / twist"
蹉,cuo1,cuō,"error / slip / miss / err
to error / to slip / to miss / to err"
莪,e2,é,"zedoary
zedoary (Curcuma zedoaria), plant rhizome similar to turmeric"
螽,zhong1,zhōng,"(grasshopper) / Gompsocleis mikado
(grasshopper) / Gompsocleis mikado"
蘼,mi2,mí,"millet
millet"
槔,gao1,gāo,"water pulley
water pulley"
曛,xun1,xūn,"twilight / sunset
twilight / sunset"
鹾,cuo2,cuó,"brine / salt
brine / salt"
隹,zhui1,zhūi,"short-tailed bird
short-tailed bird"
犸,ma3,mà,"mammoth
mammoth"
衄,nu:4 / nv4,nv̀,"bleed at the nose / check in battle
to bleed from the nose (or from the ears, gums etc) / fig. to be defeated"
銎,qiong1 / qiong2,qiōng,"eye of an axe
eye of an axe"
泫,xuan4,xuàn,"weep
weep"
玢,fen1 / bin1,bīn,"porphyrites
porphyrites"
辊,gun3,gǔn,"revolve / stone roller
to revolve / stone roller"
墀,chi2,chí,"courtyard
courtyard"
酐,gan1,hàng,"anhydride
anhydride"
堞,die2,dié,"battlements
battlements"
猗,yi1,yī,"(interj.)
(interj.)"
逑,qiu2,qíu,"collect / to match
collect / to match"
逯,lu4,lù,"(surname) / go carefully
to walk cautiously / to walk aimlessly"
硖,xia2,xiá,"place name
place name"
嵛,yu2,yú,"county in shandong province
place name in Shandong"
畀,bi4,bì,"confer on / give to
to confer on / to give to"
偬,zong3,zǒng,"busy / hurried / despondent
busy / hurried / despondent"
鄞,yin2,yín,"name of a district in Zhejiang
name of a district in Zhejiang"
呖,li4,lì,"sound of splitting / cracking
sound of splitting / cracking"
溧,li4,lì,"name of a river
name of a river"
嬲,niao3,niǎo,"tease / disturb
to tease / to disturb"
肭,na4,nà,"castor
see 膃肭|腽肭, fur seal or its blubber"
鹈,ti2,tí,"pelican
pelican"
窭,ju4,jù,"poor / rustic
poor / rustic"
黧,li2,lí,"dark / sallow color
dark / sallow color"
谵,zhan1,zhān,"incoherent talk / talkative
incoherent talk / talkative"
嫒,ai4,ài,"your daughter (hon.)
your daughter (honorific)"
缣,jian1,jiān,"thick waterproof silk
thick waterproof silk"
酃,ling2,líng,"name of a district in Hunan
name of a district in Hunan"
喱,li2,lí,"grain weight
grain weight"
泔,gan1,gān,"slop from rinsing rice
slop from rinsing rice"
溘,ke4,kè,"suddenly
suddenly"
秫,shu2,shú,"Panicum italicum
broomcorn millet (Panicum spp.) / Panicum italicum / glutinous millet"
铋,bi4,bì,"bismuth
bismuth (chemistry)"
蒌,lou2,lóu,"Arthemisia vulgaris / piper betle
Arthemisia vulgaris / piper betel"
曩,nang3,nǎng,"in former times
in former times"
赀,zi1,zī,"fine instead of punishment / property
to estimate / to fine (archaic) / variant of 資|资[zi1]"
箪,dan1,dān,"round basket for cooked rice
round basket for cooked rice"
朊,ruan3,ruǎn,"protein
protein"
芑,qi3,qǐ,"Panicum miliaceum
Panicum miliaceum"
胙,zuo4,zuò,"confer upon / sacrificial flesh
to grant or bestow / sacrificial flesh offered to the gods (old) / blessing / title of a sovereign (old)"
盱,xu1,xū,"(surname) / anxious / stare
anxious / stare"
挹,yi4,yì,"give up / ladle out / pour out
to ladle out / to dip / to pour out"
捭,bai3 / bai4,bǎi,"spread out / to open, weed
variant of 擘[bo4] / to separate / to split"
悱,fei3,fěi,"want but cannot speak
want but cannot speak"
鬟,huan2,huán,"a knot of hair on top of head
a knot of hair on top of head"
崤,yao2 / xiao2,yáo,"mountain in Henan
name of a mountain in Henan / also pr. [Yao2]"
澶,chan2,chán,"still (as of water) / still water
still (as of water) / still water"
甾,zai1,zī,"steroid nucleus
steroid nucleus"
欹,yi1,yī,"interjection
interjection"
瞽,gu3,gǔ,"blind
blind / undiscerning"
钇,yi3,yǐ,"yttrium
yttrium (chemistry)"
鹪,jiao1,jiāo,"eastern wren
eastern wren"
缡,li2,lí,"bridal veil or kerchief
bridal veil or kerchief"
铯,se4,sè,"cesium
cesium (chemistry)"
鲚,ji4,jì,"Coilia nasus
Coilia nasus"
嘬,chuai4 / zuo1,zuō,"to gnaw / eat ravenously, suck
(coll.) to suck"
庹,tuo3,tuǒ,"length of 2 outstretched arms
length of 2 outstretched arms"
渖,shen3,shěn,"place name / pour
old variant of 瀋|沈[shen3]"
湔,jian1,jiān,"cleanse / name of a river
to wash / to redress (a wrong) / name of a river"
玎,ding1,dīng,"jingling / tinkling
jingling / tinkling"
锊,lue4,lvè,"(ancient unit of weight)
(ancient unit of weight)"
阊,chang1,chāng,"gate of heaven / gate of palace
gate of heaven / gate of palace"
猊,ni2,ní,"(mythical animal) / lion
wild beast / wild horse / lion / trad. form used erroneously for 貌 / simplified form used erroneously for 狻"
燹,xian3,xiǎn,"conflagration
conflagration"
葑,feng1,fēng,"turnip
turnip"
蓼,liao3 / lu4,liǎo,"polygonum / smartweed, luxuriant growth
luxuriant growth"
幛,zhang4,zhàng,"hanging scroll
hanging scroll"
岣,gou3,gǒu,"name of a hill in Hunan
name of a hill in Hunan"
浼,mei3,měi,"ask a favor of
to ask a favor of"
瑷,ai4,ài,"jasper / precious stone
fine quality jade"
钔,men2,mén,"mendelevium
mendelevium (chemistry)"
钫,fang1,fāng,"francium
francium (chemistry)"
锼,sou1,sōu,"to engrave (metal of wood)
to engrave (metal of wood)"
褊,bian3,biǎn,"narrow / urgent
narrow / urgent"
篦,bi4,bì,"fine-toothed comb / to comb
fine-toothed comb / to comb"
麇,jun1,jūn,"hornless deer
hornless deer"
钯,ba3,bǎ,"palladium
archaic variant of 耙[pa2]"
铒,er3,èr,"erbium
erbium (chemistry)"
莩,fu2 / piao3,fú,"pellicle of culms, die of starvation
used for 殍 piǎo, to die of starvation"
嵯,cuo2,cuó,"lofty (as of mountain)
lofty (as of mountain)"
逭,huan4,huàn,"escape from
to escape from"
遄,chuan2,chuán,"hurry / go to and fro
to hurry / to go to and fro"
瀣,xie4,xiè,"mist / vapor
mist / vapor"
皴,cun1,cūn,"chapped / cracked
chapped / cracked"
泮,pan4,pàn,"melt
(literary) to melt / to dissolve"
轫,ren4,rèn,"brake
brake"
褰,qian1,qiān,"lift up the skirts / lower garments
to lift (clothes, sheets) / lower garments"
炱,tai2,tái,"soot
soot"
锱,zi1,zī,"ancient weight / one-eighth of a tael
ancient weight / one-eighth of a tael"
篁,huang2,huáng,"(bamboo) / bamboo grove
(bamboo) / bamboo grove"
葚,ren4 / shen4,shèn,"fruit of mulberry, fruit of mulberry
fruit of mulberry / also pr. [ren4]"
驽,nu2,nú,"worn out old horses
worn out old horses"
辚,lin2,lín,"rumbling of wheels
rumbling of wheels"
睥,bi4 / pi4,bì,"look askance
look askance"
鸺,xiu1,xīu,"owl
owl"
筇,qiong2,qióng,"species of bamboo
(in ancient texts) type of bamboo sometimes used as a staff"
戥,deng3,děng,"small steelyard for weighing money
small steelyard for weighing money"
髀,bi4,bì,"buttocks / thigh
buttocks / thigh"
驺,zou1,zōu,"go / mythical animal
groom or chariot driver employed by a noble (old)"
哙,kuai4,kuài,"(surname) / throat / to swallow
throat / to swallow"
逄,pang2,páng,"(surname)
surname Pang"
桤,qi1,qī,"alder
alder"
疳,gan1,gān,"rickets
rickets"
醭,bu2,bú,"mold on liquids
mold on liquids"
鳇,huang2,huáng,"sturgeon
sturgeon"
迓,ya4,yà,"receive (as a guest)
to receive (as a guest)"
眇,miao3,miǎo,"minute (small) / subtle
blind in one eye / blind / tiny / humble / to stare"
楮,chu3,chǔ,"Broussonetia kasinoki
Broussonetia kasinoki"
菘,song1,sōng,"(cabbage) / Brassica chinensis
(cabbage) / Brassica chinensis"
栌,lu2,lú,"capital (of column) / smoke tree
capital (of column) / smoke tree"
醐,hu2,hú,"purest cream
purest cream"
獍,jing4,jìng,"an animal which eats its mother
a mythical animal that eats its mother"
殳,shu1,shū,"(surname) / spear
spear"
仡,yi4,yì,"strong / brave
strong / brave"
刿,gui4,gùi,"cut / injure
cut / injure"
薅,hao1,hāo,"pull out (weed)
to weed / to grip or clutch"
湓,pen2,pén,"flowing of water / name of a river
flowing of water / name of a river"
搴,qian1,qiān,"seize
to seize / to pull / to hold up the hem of clothes"
尕,ga3,gǎ,"(phonetic)
little (dialect)"
磴,deng4,dèng,"cliff-ledge / stone step
cliff-ledge / stone step"
艚,cao2,cáo,"sea-going junk
sea-going junk"
殄,tian3,tiǎn,"exterminate
to exterminate"
暝,ming2,míng,"dark
dark"
豉,chi3,chǐ,"salted fermented beans
salted fermented beans"
蟥,huang2,huáng,"horse-leech
horse-leech"
蹀,die2,dié,"tread on
to tread on / to stamp one's foot"
黼,fu3,fǔ,"(embroidery)
(embroidery)"
氙,xian1,xiān,"xenon
xenon (chemistry)"
铑,lao3,lǎo,"rhodium
rhodium (chemistry)"
蒡,bang4,bàng,"Arctium lappa / great burdock
Arctium lappa / great burdock"
杪,miao3,miǎo,"the limit / tip of branch
the limit / tip of branch"
肜,rong2,róng,"(surname)
surname Rong"
膂,lu:3 / lv3,lv̌,"backbone / strength
backbone / strength"
硭,mang2,máng,"crude saltpeter
crude saltpeter"
酽,yan4,yàn,"strong (of tea)
strong (of tea)"
踟,chi2,chí,"hesitating / undecided / hesitant
hesitating / undecided / hesitant"
鲷,diao1,diāo,"pagrus major
porgy / pagrus major"
蒴,shuo4,shuò,"pod / capsule
pod / capsule"
猡,luo2,luó,"name of a tribe
name of a tribe"
旒,liu2,líu,"tassel
tassel"
哿,ge3,gě,"excellent / happy / well-being
excellent / happy / well-being"
皤,po2,pó,"white
white"
殍,piao3,piǎo,"die of starvation
die of starvation"
漯,ta4 / luo4,tà,"name of a river
name of a river"
谂,shen3,shěn,"consult
to know / to reprimand / to urge / to long for / to tell / to inform"
橥,zhu1,zhū,"Zelkova acuminata
Zelkova acuminata"
镬,huo4,huò,"boiler or caldron
wok (dialect) / cauldron (old)"
鸲,qu2,qú,"(mynah)
(bound form, used in the names of birds of various biological families)"
姝,shu1,shū,"pretty woman
pretty woman"
茭,jiao1,jiāo,"Zizania aquatica
Zizania aquatica"
窆,bian3,biǎn,"put a coffin in grave
to put a coffin in the grave"
髟,biao1,biāo,"hair / shaggy
hair / shaggy"
畋,tian2,tián,"cultivate (land) / to hunt
to cultivate (land) / to hunt"
溏,tang2,táng,"noncoagulative / pond
noncoagulative / pond"
鲔,wei3,wěi,"little tuna / Euthnnus allecteratus
little tuna / Euthynnus alletteratus"
羼,chan4,chàn,"confusion / sheep crowding
to mix / to blend / to dilute / to adulterate"
缧,lei2,léi,"bind / bond
bind / bond"
窬,yu2,yú,"hole in a wall
hole in a wall"
骘,zhi4,zhì,"determine / promote / stallion
a stallion / to rise / to arrange / to stabilize / to differentiate / to judge"
赉,lai4,lài,"bestow / confer
to bestow / to confer"
镓,jia1,jiā,"gallium
gallium (chemistry)"
璩,qu2,qú,"(jade ring) / (surname)
(jade ring)"
鸸,er2,ér,"emu
see 鴯鶓|鸸鹋[er2 miao2]"
涠,wei2,wéi,"still water
still water"
溲,sou1,sōu,"urinate
to urinate"
孥,nu2,nú,"child / offspring
child / offspring"
敉,mi3,mǐ,"peaceful
peaceful"
筌,quan2,quán,"bamboo fish trap
bamboo fish trap"
垓,gai1,gāi,"boundary
boundary"
苒,ran3,rǎn,"luxuriant growth / passing (of time)
luxuriant growth / passing (of time)"
荸,bi2,bí,"water chestnut
see 荸薺|荸荠[bi2 qi2]"
甓,pi4,pì,"glazed tile
glazed tile"
脔,luan2,luán,"skinny / sliced meat
skinny / sliced meat"
彘,zhi4,zhì,"swine
swine"
檠,qing2,qíng,"instrument for straightening bows
instrument for straightening bows"
旄,mao2 / mao4,máo,"banner decorated with animal's tail, aged
variant of 耄[mao4]"
伛,yu3,yǔ,"hunchbacked
hunchbacked"
鲥,shi2,shí,"shad / Ilisha elongata
shad / Ilisha elongata"
荦,luo4,luò,"brindled ox / clear / eminent
brindled ox / clear / eminent"
暾,tun1,tūn,"sun above the horizon
sun above the horizon"
缌,si1,sī,"fine linen
fine linen"
锞,ke4,kuǎ,"grease-pot for cart / ingot
grease-pot for cart / ingot"
趵,bao4 / bo1,bào,"jump / leap
jump / leap"
跖,zhi2,zhí,"sole of foot
variant of 蹠[zhi2]"
跬,kui3,kǔi,"brief / short step
brief / short step"
僬,jiao1,jiāo,"clever / pigmies
see 僬僬[jiao1 jiao1]"
皲,jun1,jūn,"to chap
to chap"
翥,zhu4,zhù,"soar
to soar"
芴,wu4,wù,"fluorine
fluorene C13H10 / (old) name of an edible wild plant"
菰,gu1,gū,"Zizania latifolia / mushroom
Zizania latifolia / mushroom"
眙,yi2,chì,"place name
place name"
