ID	lemma	PoS	freq	texts
8695	nacionalista	n	8184	4733
8705	agilidad	n	8162	6809
8715	vegetariano	j	8146	4168
8725	occidental	n	8132	6236
8735	teóricamente	r	8116	6882
8745	susurrar	v	8101	6492
8755	redimir	v	8076	6008
8765	aborrecer	v	8067	5724
8775	excavación	n	8059	4523
8785	reaccionario	j	8047	5550
8795	fragilidad	n	8031	6649
8805	desierto	j	8023	6373
8815	mega	n	8009	4572
8825	vejiga	n	7989	3666
8835	lanzador	n	7978	3559
8845	concertar	v	7965	6475
8855	normalizar	v	7955	6503
8865	disparado	j	7935	7033
8875	cayo	n	7921	4956
8885	mármol	n	7906	5322
8895	ocupante	n	7896	5510
8905	velada	n	7877	6244
8915	yugo	n	7856	5484
8925	conglomerado	n	7843	6320
8935	malvado	n	7819	5599
8945	sobrina	n	7804	5562
8955	jinete	n	7785	4354
8965	relevar	v	7778	5833
8975	desvío	n	7760	5731
8985	gorra	n	7752	5783
8995	deteriorado	j	7743	6867
9005	suicida	j	7725	5625
9015	obediente	j	7709	6117
9025	coronario	j	7693	2934
9035	vertiginoso	j	7684	6834
9045	cumbia	n	7677	3580
9055	drásticamente	r	7659	7013
9065	cesárea	n	7641	2892
9075	incendiar	v	7627	6338
9085	astral	j	7620	2765
9095	purificación	n	7602	4904
9105	alucinante	j	7590	6349
9115	filmación	n	7578	5608
